1927 2009
1927: 65 245
1928: 130 386
1929: 56 201
1930: 134 327
1931: 95 271
1932: 76 226
1933: 96 344
1934: 147 355
1935: 78 226
1936: 112 294
1937: 75 232
1938: 74 233
1939: 65 223
1940: 100 278
1941: 124 308
1942: 101 309
1943: 140 344
1944: 138 341
1945: 124 308
1946: 150 359
1947: 87 251
1948: 103 268
1949: 116 278
1950: 68 222
1951: 60 273
1952: 69 234
1953: 137 342
1954: 100 274
1955: 82 322
1956: 129 391
1957: 95 274
1958: 96 325
1959: 112 285
1960: 150 378
1961: 91 303
1962: 83 248
1963: 50 159
1964: 141 348
1965: 50 214
1966: 106 297
1967: 71 170
1968: 71 236
1969: 129 323
1970: 60 211
1971: 117 297
1972: 70 201
1973: 74 265
1974: 117 282
1975: 85 231
1976: 54 205
1977: 122 320
1978: 126 301
1979: 119 300
1980: 67 213
1981: 89 262
1982: 95 262
1983: 105 263
1984: 103 287
1985: 142 363
1986: 52 221
1987: 114 292
1988: 73 236
1989: 74 180
1990: 80 243
1991: 91 253
1992: 148 404
1993: 83 240
1994: 97 273
1995: 82 315
1996: 138 278
1997: 120 324
1998: 150 328
1999: 149 358
2000: 94 261
2001: 98 310
2002: 127 351
2003: 100 275
2004: 143 336
2005: 123 265
2006: 74 205
2007: 102 289
2008: 79 235
2009: 80 253
